Gene stable ID	Anopheles gambiae Ensembl Gene ID	Anopheles gambiae % Identity
AALB004082	AGAP006323	39
AALB004709		
AALB004756		
AALB004757	AGAP004823	55
AALB004766	AGAP006041	67
AALB004761	AGAP004817	69
AALB004774		
AALB004777		
AALB004798		
AALB004805	AGAP005401	89
AALB004806	AGAP007170	22
AALB004806	AGAP013485	21
AALB004806	AGAP007171	21
AALB004806	AGAP013299	21
AALB004812	AGAP005397	48
AALB004809		
AALB004834		
AALB004836		
AALB004849	AGAP004867	93
AALB004875	AGAP005160	26
AALB004881		
AALB004156		
AALB004899		
AALB004902		
AALB004901	AGAP006901	66
AALB004904		
AALB004905		
AALB004903		
AALB004924	AGAP005578	54
AALB004946	AGAP007158	57
AALB004946	AGAP007159	57
AALB004946	AGAP005548	66
AALB004946	AGAP005547	67
AALB004932	AGAP006142	65
AALB004159		
AALB004960	AGAP006945	67
AALB004981		
AALB005001		
AALB004999	AGAP007059	25
AALB005008		
AALB005010	AGAP007049	36
AALB005011	AGAP007048	41
AALB005017		
AALB005025	AGAP004994	65
AALB005073	AGAP005735	53
AALB005092		
AALB004182		
AALB004173	AGAP005313	86
AALB005103	AGAP005503	72
AALB004175		
AALB005110	AGAP007439	58
AALB005123		
AALB005131	AGAP007474	92
AALB005149	AGAP007499	86
AALB005139	AGAP007488	53
AALB005139	AGAP007486	51
AALB005188	AGAP006451	67
AALB005190		
AALB005200		
AALB005249	AGAP006549	38
AALB005255		
AALB005275		
AALB005295		
AALB005294		
AALB005326	AGAP006853	65
AALB005326	AGAP006850	66
AALB005326	AGAP006852	66
AALB005326	AGAP006854	66
AALB005326	AGAP006862	65
AALB005326	AGAP006855	66
AALB005326	AGAP006851	66
AALB005326	AGAP006849	66
AALB005325		
AALB005340		
AALB005368	AGAP006702	52
AALB005384		
AALB005382		
AALB005408		
AALB005425	AGAP007676	69
AALB005420	AGAP013037	59
AALB005451	AGAP007538	55
AALB005454		
AALB005469	AGAP007705	58
AALB005476		
AALB005523	AGAP007256	62
AALB005533		
AALB005534		
AALB005531		
AALB005535		
AALB005540		
AALB005541	AGAP005680	70
AALB005551	AGAP006976	72
AALB005568	AGAP007212	89
AALB005577		
AALB005627		
AALB005641	AGAP006482	46
AALB005636	AGAP006490	70
AALB005650		
AALB005653		
AALB005667	AGAP006131	80
AALB005677		
AALB005697		
AALB005703		
AALB005720	AGAP005364	87
AALB005705		
AALB005725		
AALB005742	AGAP005823	96
AALB005750	AGAP007389	33
AALB005753	AGAP007384	75
AALB005766	AGAP007110	36
AALB005774	AGAP006006	31
AALB005774	AGAP006003	41
AALB005774	AGAP006004	37
AALB005774	AGAP006005	29
AALB005784		
AALB005787		
AALB005789	AGAP005961	91
AALB005810	AGAP005862	33
AALB005809		
AALB005823	AGAP005672	87
